Reporting Period,Permissions,Chart Feature 1,Chart Feature 2,GBP Value,Ratio,Chart,Year
2019Q4,Non-Life,Reinsurance recoverables,Assets,43466253000,NA,Chart 2.1 - Non-Life,2019
2019Q4,Non-Life,Insurance related receivables,Assets,9237751000,NA,Chart 2.1 - Non-Life,2019
2019Q4,Non-Life,Participations,Assets,3711181000,NA,Chart 2.1 - Non-Life,2019
2019Q4,Non-Life,Operating assets & other,Assets,5249278000,NA,Chart 2.1 - Non-Life,2019
2019Q4,Non-Life,Technical Provisions,Liabilities,121241075000,NA,Chart 2.1 - Non-Life,2019
2019Q4,Non-Life,Insurance related payables,Liabilities,9822671000,NA,Chart 2.1 - Non-Life,2019
2019Q4,Non-Life,Derivatives in liabilities,Liabilities,1160155000,NA,Chart 2.1 - Non-Life,2019
2019Q4,Non-Life,Other liabilities,Liabilities,10844404000,NA,Chart 2.1 - Non-Life,2019
2019Q4,Non-Life,Excess Assets over Liabilities,Liabilities,51614835000,NA,Chart 2.1 - Non-Life,2019
2020Q1,Non-Life,Investment and cash excluding participations,Assets,134050452000,NA,Chart 2.1 - Non-Life,2020
2020Q1,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2020
2020Q1,Non-Life,Reinsurance recoverables,Assets,49454957000,NA,Chart 2.1 - Non-Life,2020
2020Q1,Non-Life,Insurance related receivables,Assets,9849687000,NA,Chart 2.1 - Non-Life,2020
2020Q1,Non-Life,Participations,Assets,3852626000,NA,Chart 2.1 - Non-Life,2020
2020Q1,Non-Life,Operating assets & other,Assets,7465636000,NA,Chart 2.1 - Non-Life,2020
2020Q1,Non-Life,Technical Provisions,Liabilities,132269719000,NA,Chart 2.1 - Non-Life,2020
2020Q1,Non-Life,Insurance related payables,Liabilities,9014246000,NA,Chart 2.1 - Non-Life,2020
2020Q1,Non-Life,Derivatives in liabilities,Liabilities,1765505000,NA,Chart 2.1 - Non-Life,2020
2020Q1,Non-Life,Other liabilities,Liabilities,12712455000,NA,Chart 2.1 - Non-Life,2020
2020Q1,Non-Life,Excess Assets over Liabilities,Liabilities,48911435000,NA,Chart 2.1 - Non-Life,2020
2020Q2,Non-Life,Investment and cash excluding participations,Assets,138805987000,NA,Chart 2.1 - Non-Life,2020
2020Q2,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2020
2020Q2,Non-Life,Reinsurance recoverables,Assets,51715846000,NA,Chart 2.1 - Non-Life,2020
2020Q2,Non-Life,Insurance related receivables,Assets,10047250000,NA,Chart 2.1 - Non-Life,2020
2020Q2,Non-Life,Participations,Assets,4362864000,NA,Chart 2.1 - Non-Life,2020
2020Q2,Non-Life,Operating assets & other,Assets,6004193000,NA,Chart 2.1 - Non-Life,2020
2020Q2,Non-Life,Technical Provisions,Liabilities,136205927000,NA,Chart 2.1 - Non-Life,2020
2020Q2,Non-Life,Insurance related payables,Liabilities,10241573000,NA,Chart 2.1 - Non-Life,2020
2020Q2,Non-Life,Derivatives in liabilities,Liabilities,1665432000,NA,Chart 2.1 - Non-Life,2020
2020Q2,Non-Life,Other liabilities,Liabilities,11308924000,NA,Chart 2.1 - Non-Life,2020
2020Q2,Non-Life,Excess Assets over Liabilities,Liabilities,51514284000,NA,Chart 2.1 - Non-Life,2020
2020Q3,Non-Life,Investment and cash excluding participations,Assets,139860099000,NA,Chart 2.1 - Non-Life,2020
2020Q3,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2020
2020Q3,Non-Life,Reinsurance recoverables,Assets,50782669000,NA,Chart 2.1 - Non-Life,2020
2020Q3,Non-Life,Insurance related receivables,Assets,10394211000,NA,Chart 2.1 - Non-Life,2020
2020Q3,Non-Life,Participations,Assets,3793700000,NA,Chart 2.1 - Non-Life,2020
2020Q3,Non-Life,Operating assets & other,Assets,5995028000,NA,Chart 2.1 - Non-Life,2020
2020Q3,Non-Life,Technical Provisions,Liabilities,136686452000,NA,Chart 2.1 - Non-Life,2020
2020Q3,Non-Life,Insurance related payables,Liabilities,10009734000,NA,Chart 2.1 - Non-Life,2020
2020Q3,Non-Life,Derivatives in liabilities,Liabilities,1531789000,NA,Chart 2.1 - Non-Life,2020
2020Q3,Non-Life,Other liabilities,Liabilities,11531852000,NA,Chart 2.1 - Non-Life,2020
2020Q3,Non-Life,Excess Assets over Liabilities,Liabilities,51065878000,NA,Chart 2.1 - Non-Life,2020
2020Q4,Non-Life,Investment and cash excluding participations,Assets,141392102000,NA,Chart 2.1 - Non-Life,2020
2020Q4,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2020
2020Q4,Non-Life,Reinsurance recoverables,Assets,47736398000,NA,Chart 2.1 - Non-Life,2020
2020Q4,Non-Life,Insurance related receivables,Assets,9535814000,NA,Chart 2.1 - Non-Life,2020
2020Q4,Non-Life,Participations,Assets,3627673000,NA,Chart 2.1 - Non-Life,2020
2020Q4,Non-Life,Operating assets & other,Assets,6182105000,NA,Chart 2.1 - Non-Life,2020
2020Q4,Non-Life,Technical Provisions,Liabilities,131817251000,NA,Chart 2.1 - Non-Life,2020
2020Q4,Non-Life,Insurance related payables,Liabilities,9551560000,NA,Chart 2.1 - Non-Life,2020
2020Q4,Non-Life,Derivatives in liabilities,Liabilities,725251000,NA,Chart 2.1 - Non-Life,2020
2020Q4,Non-Life,Other liabilities,Liabilities,12354732000,NA,Chart 2.1 - Non-Life,2020
2020Q4,Non-Life,Excess Assets over Liabilities,Liabilities,54025299000,NA,Chart 2.1 - Non-Life,2020
2021Q1,Non-Life,Investment and cash excluding participations,Assets,139699252000,NA,Chart 2.1 - Non-Life,2021
2021Q1,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2021
2021Q1,Non-Life,Reinsurance recoverables,Assets,46436700000,NA,Chart 2.1 - Non-Life,2021
2021Q1,Non-Life,Insurance related receivables,Assets,10575565000,NA,Chart 2.1 - Non-Life,2021
2021Q1,Non-Life,Participations,Assets,3677740000,NA,Chart 2.1 - Non-Life,2021
2021Q1,Non-Life,Operating assets & other,Assets,7334562000,NA,Chart 2.1 - Non-Life,2021
2021Q1,Non-Life,Technical Provisions,Liabilities,128388539000,NA,Chart 2.1 - Non-Life,2021
2021Q1,Non-Life,Insurance related payables,Liabilities,10206357000,NA,Chart 2.1 - Non-Life,2021
2021Q1,Non-Life,Derivatives in liabilities,Liabilities,577988000,NA,Chart 2.1 - Non-Life,2021
2021Q1,Non-Life,Other liabilities,Liabilities,12183975000,NA,Chart 2.1 - Non-Life,2021
2021Q1,Non-Life,Excess Assets over Liabilities,Liabilities,56366960000,NA,Chart 2.1 - Non-Life,2021
2021Q2,Non-Life,Investment and cash excluding participations,Assets,141914162000,NA,Chart 2.1 - Non-Life,2021
2021Q2,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2021
2021Q2,Non-Life,Reinsurance recoverables,Assets,47792663000,NA,Chart 2.1 - Non-Life,2021
2021Q2,Non-Life,Insurance related receivables,Assets,9689293000,NA,Chart 2.1 - Non-Life,2021
2021Q2,Non-Life,Participations,Assets,3874647000,NA,Chart 2.1 - Non-Life,2021
2021Q2,Non-Life,Operating assets & other,Assets,5736747000,NA,Chart 2.1 - Non-Life,2021
2021Q2,Non-Life,Technical Provisions,Liabilities,128394850000,NA,Chart 2.1 - Non-Life,2021
2021Q2,Non-Life,Insurance related payables,Liabilities,9993591000,NA,Chart 2.1 - Non-Life,2021
2021Q2,Non-Life,Derivatives in liabilities,Liabilities,566782000,NA,Chart 2.1 - Non-Life,2021
2021Q2,Non-Life,Other liabilities,Liabilities,11650026000,NA,Chart 2.1 - Non-Life,2021
2021Q2,Non-Life,Excess Assets over Liabilities,Liabilities,58402263000,NA,Chart 2.1 - Non-Life,2021
2021Q3,Non-Life,Investment and cash excluding participations,Assets,145525769000,NA,Chart 2.1 - Non-Life,2021
2021Q3,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2021
2021Q3,Non-Life,Reinsurance recoverables,Assets,50641876000,NA,Chart 2.1 - Non-Life,2021
2021Q3,Non-Life,Insurance related receivables,Assets,10324082000,NA,Chart 2.1 - Non-Life,2021
2021Q3,Non-Life,Participations,Assets,3934563000,NA,Chart 2.1 - Non-Life,2021
2021Q3,Non-Life,Operating assets & other,Assets,5539734000,NA,Chart 2.1 - Non-Life,2021
2021Q3,Non-Life,Technical Provisions,Liabilities,135134160000,NA,Chart 2.1 - Non-Life,2021
2021Q3,Non-Life,Insurance related payables,Liabilities,10256112000,NA,Chart 2.1 - Non-Life,2021
2021Q3,Non-Life,Derivatives in liabilities,Liabilities,662667000,NA,Chart 2.1 - Non-Life,2021
2021Q3,Non-Life,Other liabilities,Liabilities,11702533000,NA,Chart 2.1 - Non-Life,2021
2021Q3,Non-Life,Excess Assets over Liabilities,Liabilities,58210552000,NA,Chart 2.1 - Non-Life,2021
2021Q4,Non-Life,Investment and cash excluding participations,Assets,148375663000,NA,Chart 2.1 - Non-Life,2021
2021Q4,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2021
2021Q4,Non-Life,Reinsurance recoverables,Assets,50741746000,NA,Chart 2.1 - Non-Life,2021
2021Q4,Non-Life,Insurance related receivables,Assets,12127927000,NA,Chart 2.1 - Non-Life,2021
2021Q4,Non-Life,Participations,Assets,4019832000,NA,Chart 2.1 - Non-Life,2021
2021Q4,Non-Life,Operating assets & other,Assets,5907201000,NA,Chart 2.1 - Non-Life,2021
2021Q4,Non-Life,Technical Provisions,Liabilities,135913125000,NA,Chart 2.1 - Non-Life,2021
2021Q4,Non-Life,Insurance related payables,Liabilities,11863591000,NA,Chart 2.1 - Non-Life,2021
2021Q4,Non-Life,Derivatives in liabilities,Liabilities,548864000,NA,Chart 2.1 - Non-Life,2021
2021Q4,Non-Life,Other liabilities,Liabilities,11740710000,NA,Chart 2.1 - Non-Life,2021
2021Q4,Non-Life,Excess Assets over Liabilities,Liabilities,61106079000,NA,Chart 2.1 - Non-Life,2021
2022Q1,Non-Life,Investment and cash excluding participations,Assets,149840221000,NA,Chart 2.1 - Non-Life,2022
2022Q1,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2022
2022Q1,Non-Life,Reinsurance recoverables,Assets,53307089000,NA,Chart 2.1 - Non-Life,2022
2022Q1,Non-Life,Insurance related receivables,Assets,12746250000,NA,Chart 2.1 - Non-Life,2022
2022Q1,Non-Life,Participations,Assets,3980187000,NA,Chart 2.1 - Non-Life,2022
2022Q1,Non-Life,Operating assets & other,Assets,7153253000,NA,Chart 2.1 - Non-Life,2022
2022Q1,Non-Life,Technical Provisions,Liabilities,139096592000,NA,Chart 2.1 - Non-Life,2022
2022Q1,Non-Life,Insurance related payables,Liabilities,12518741000,NA,Chart 2.1 - Non-Life,2022
2022Q1,Non-Life,Derivatives in liabilities,Liabilities,855358000,NA,Chart 2.1 - Non-Life,2022
2022Q1,Non-Life,Other liabilities,Liabilities,12463518000,NA,Chart 2.1 - Non-Life,2022
2022Q1,Non-Life,Excess Assets over Liabilities,Liabilities,62092790000,NA,Chart 2.1 - Non-Life,2022
2022Q2,Non-Life,Investment and cash excluding participations,Assets,170123680000,NA,Chart 2.1 - Non-Life,2022
2022Q2,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2022
2022Q2,Non-Life,Reinsurance recoverables,Assets,65434501000,NA,Chart 2.1 - Non-Life,2022
2022Q2,Non-Life,Insurance related receivables,Assets,16113306000,NA,Chart 2.1 - Non-Life,2022
2022Q2,Non-Life,Participations,Assets,6724283000,NA,Chart 2.1 - Non-Life,2022
2022Q2,Non-Life,Operating assets & other,Assets,13332081000,NA,Chart 2.1 - Non-Life,2022
2022Q2,Non-Life,Technical Provisions,Liabilities,165440370000,NA,Chart 2.1 - Non-Life,2022
2022Q2,Non-Life,Insurance related payables,Liabilities,16015279000,NA,Chart 2.1 - Non-Life,2022
2022Q2,Non-Life,Derivatives in liabilities,Liabilities,1207022000,NA,Chart 2.1 - Non-Life,2022
2022Q2,Non-Life,Other liabilities,Liabilities,14454458000,NA,Chart 2.1 - Non-Life,2022
2022Q2,Non-Life,Excess Assets over Liabilities,Liabilities,74610722000,NA,Chart 2.1 - Non-Life,2022
2022Q3,Non-Life,Investment and cash excluding participations,Assets,181715835000,NA,Chart 2.1 - Non-Life,2022
2022Q3,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2022
2022Q3,Non-Life,Reinsurance recoverables,Assets,72357915000,NA,Chart 2.1 - Non-Life,2022
2022Q3,Non-Life,Insurance related receivables,Assets,19818963000,NA,Chart 2.1 - Non-Life,2022
2022Q3,Non-Life,Participations,Assets,6848576000,NA,Chart 2.1 - Non-Life,2022
2022Q3,Non-Life,Operating assets & other,Assets,12698680000,NA,Chart 2.1 - Non-Life,2022
2022Q3,Non-Life,Technical Provisions,Liabilities,179042997000,NA,Chart 2.1 - Non-Life,2022
2022Q3,Non-Life,Insurance related payables,Liabilities,18269628000,NA,Chart 2.1 - Non-Life,2022
2022Q3,Non-Life,Derivatives in liabilities,Liabilities,1889091000,NA,Chart 2.1 - Non-Life,2022
2022Q3,Non-Life,Other liabilities,Liabilities,15823350000,NA,Chart 2.1 - Non-Life,2022
2022Q3,Non-Life,Excess Assets over Liabilities,Liabilities,78414902000,NA,Chart 2.1 - Non-Life,2022
2022Q4,Non-Life,Investment and cash excluding participations,Assets,172488756000,NA,Chart 2.1 - Non-Life,2022
2022Q4,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2022
2022Q4,Non-Life,Reinsurance recoverables,Assets,66583833000,NA,Chart 2.1 - Non-Life,2022
2022Q4,Non-Life,Insurance related receivables,Assets,19968772000,NA,Chart 2.1 - Non-Life,2022
2022Q4,Non-Life,Participations,Assets,6454721000,NA,Chart 2.1 - Non-Life,2022
2022Q4,Non-Life,Operating assets & other,Assets,11827703000,NA,Chart 2.1 - Non-Life,2022
2022Q4,Non-Life,Technical Provisions,Liabilities,165049224000,NA,Chart 2.1 - Non-Life,2022
2022Q4,Non-Life,Insurance related payables,Liabilities,17911972000,NA,Chart 2.1 - Non-Life,2022
2022Q4,Non-Life,Derivatives in liabilities,Liabilities,908481000,NA,Chart 2.1 - Non-Life,2022
2022Q4,Non-Life,Other liabilities,Liabilities,14768206000,NA,Chart 2.1 - Non-Life,2022
2022Q4,Non-Life,Excess Assets over Liabilities,Liabilities,78685902000,NA,Chart 2.1 - Non-Life,2022
2023Q1,Non-Life,Investment and cash excluding participations,Assets,175944984000,NA,Chart 2.1 - Non-Life,2023
2023Q1,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2023
2023Q1,Non-Life,Reinsurance recoverables,Assets,70406100000,NA,Chart 2.1 - Non-Life,2023
2023Q1,Non-Life,Insurance related receivables,Assets,20355286000,NA,Chart 2.1 - Non-Life,2023
2023Q1,Non-Life,Participations,Assets,6468720000,NA,Chart 2.1 - Non-Life,2023
2023Q1,Non-Life,Operating assets & other,Assets,13461326000,NA,Chart 2.1 - Non-Life,2023
2023Q1,Non-Life,Technical Provisions,Liabilities,171842138000,NA,Chart 2.1 - Non-Life,2023
2023Q1,Non-Life,Insurance related payables,Liabilities,16722639000,NA,Chart 2.1 - Non-Life,2023
2023Q1,Non-Life,Derivatives in liabilities,Liabilities,827707000,NA,Chart 2.1 - Non-Life,2023
2023Q1,Non-Life,Other liabilities,Liabilities,17398256000,NA,Chart 2.1 - Non-Life,2023
2023Q1,Non-Life,Excess Assets over Liabilities,Liabilities,79845677000,NA,Chart 2.1 - Non-Life,2023
2023Q2,Non-Life,Investment and cash excluding participations,Assets,170871974000,NA,Chart 2.1 - Non-Life,2023
2023Q2,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2023
2023Q2,Non-Life,Reinsurance recoverables,Assets,68269397000,NA,Chart 2.1 - Non-Life,2023
2023Q2,Non-Life,Insurance related receivables,Assets,20342142000,NA,Chart 2.1 - Non-Life,2023
2023Q2,Non-Life,Participations,Assets,6633625000,NA,Chart 2.1 - Non-Life,2023
2023Q2,Non-Life,Operating assets & other,Assets,12327716000,NA,Chart 2.1 - Non-Life,2023
2023Q2,Non-Life,Technical Provisions,Liabilities,164576671000,NA,Chart 2.1 - Non-Life,2023
2023Q2,Non-Life,Insurance related payables,Liabilities,17901015000,NA,Chart 2.1 - Non-Life,2023
2023Q2,Non-Life,Derivatives in liabilities,Liabilities,870470000,NA,Chart 2.1 - Non-Life,2023
2023Q2,Non-Life,Other liabilities,Liabilities,15075576000,NA,Chart 2.1 - Non-Life,2023
2023Q2,Non-Life,Excess Assets over Liabilities,Liabilities,80021123000,NA,Chart 2.1 - Non-Life,2023
2023Q3,Non-Life,Investment and cash excluding participations,Assets,180821791000,NA,Chart 2.1 - Non-Life,2023
2023Q3,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2023
2023Q3,Non-Life,Reinsurance recoverables,Assets,71147007000,NA,Chart 2.1 - Non-Life,2023
2023Q3,Non-Life,Insurance related receivables,Assets,20326025000,NA,Chart 2.1 - Non-Life,2023
2023Q3,Non-Life,Participations,Assets,6844900000,NA,Chart 2.1 - Non-Life,2023
2023Q3,Non-Life,Operating assets & other,Assets,12410403000,NA,Chart 2.1 - Non-Life,2023
2023Q3,Non-Life,Technical Provisions,Liabilities,171604553000,NA,Chart 2.1 - Non-Life,2023
2023Q3,Non-Life,Insurance related payables,Liabilities,17839039000,NA,Chart 2.1 - Non-Life,2023
2023Q3,Non-Life,Derivatives in liabilities,Liabilities,893363000,NA,Chart 2.1 - Non-Life,2023
2023Q3,Non-Life,Other liabilities,Liabilities,15805066000,NA,Chart 2.1 - Non-Life,2023
2023Q3,Non-Life,Excess Assets over Liabilities,Liabilities,85408104000,NA,Chart 2.1 - Non-Life,2023
2023Q4,Non-Life,Investment and cash excluding participations,Assets,185501666000,NA,Chart 2.1 - Non-Life,2023
2023Q4,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2023
2023Q4,Non-Life,Reinsurance recoverables,Assets,72338966000,NA,Chart 2.1 - Non-Life,2023
2023Q4,Non-Life,Insurance related receivables,Assets,20568185000,NA,Chart 2.1 - Non-Life,2023
2023Q4,Non-Life,Participations,Assets,7252510000,NA,Chart 2.1 - Non-Life,2023
2023Q4,Non-Life,Operating assets & other,Assets,11568173000,NA,Chart 2.1 - Non-Life,2023
2023Q4,Non-Life,Technical Provisions,Liabilities,173521983000,NA,Chart 2.1 - Non-Life,2023
2023Q4,Non-Life,Insurance related payables,Liabilities,18952693000,NA,Chart 2.1 - Non-Life,2023
2023Q4,Non-Life,Derivatives in liabilities,Liabilities,585723000,NA,Chart 2.1 - Non-Life,2023
2023Q4,Non-Life,Other liabilities,Liabilities,15445044000,NA,Chart 2.1 - Non-Life,2023
2023Q4,Non-Life,Excess Assets over Liabilities,Liabilities,88724057000,NA,Chart 2.1 - Non-Life,2023
2024Q1,Non-Life,Investment and cash excluding participations,Assets,184701536000,NA,Chart 2.1 - Non-Life,2024
2024Q1,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2024
2024Q1,Non-Life,Reinsurance recoverables,Assets,69305512000,NA,Chart 2.1 - Non-Life,2024
2024Q1,Non-Life,Insurance related receivables,Assets,18456425000,NA,Chart 2.1 - Non-Life,2024
2024Q1,Non-Life,Participations,Assets,7487993000,NA,Chart 2.1 - Non-Life,2024
2024Q1,Non-Life,Operating assets & other,Assets,12535264000,NA,Chart 2.1 - Non-Life,2024
2024Q1,Non-Life,Technical Provisions,Liabilities,167858261000,NA,Chart 2.1 - Non-Life,2024
2024Q1,Non-Life,Insurance related payables,Liabilities,17367139000,NA,Chart 2.1 - Non-Life,2024
2024Q1,Non-Life,Derivatives in liabilities,Liabilities,503008000,NA,Chart 2.1 - Non-Life,2024
2024Q1,Non-Life,Other liabilities,Liabilities,18484942000,NA,Chart 2.1 - Non-Life,2024
2024Q1,Non-Life,Excess Assets over Liabilities,Liabilities,88273379000,NA,Chart 2.1 - Non-Life,2024
2024Q2,Non-Life,Investment and cash excluding participations,Assets,183823048000,NA,Chart 2.1 - Non-Life,2024
2024Q2,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2024
2024Q2,Non-Life,Reinsurance recoverables,Assets,69644400000,NA,Chart 2.1 - Non-Life,2024
2024Q2,Non-Life,Insurance related receivables,Assets,18948411000,NA,Chart 2.1 - Non-Life,2024
2024Q2,Non-Life,Participations,Assets,7581347000,NA,Chart 2.1 - Non-Life,2024
2024Q2,Non-Life,Operating assets & other,Assets,12173979000,NA,Chart 2.1 - Non-Life,2024
2024Q2,Non-Life,Technical Provisions,Liabilities,167553319000,NA,Chart 2.1 - Non-Life,2024
2024Q2,Non-Life,Insurance related payables,Liabilities,18688655000,NA,Chart 2.1 - Non-Life,2024
2024Q2,Non-Life,Derivatives in liabilities,Liabilities,349993000,NA,Chart 2.1 - Non-Life,2024
2024Q2,Non-Life,Other liabilities,Liabilities,15676364000,NA,Chart 2.1 - Non-Life,2024
2024Q2,Non-Life,Excess Assets over Liabilities,Liabilities,89902854000,NA,Chart 2.1 - Non-Life,2024
2024Q3,Non-Life,Investment and cash excluding participations,Assets,186967532000,NA,Chart 2.1 - Non-Life,2024
2024Q3,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2024
2024Q3,Non-Life,Reinsurance recoverables,Assets,70152508000,NA,Chart 2.1 - Non-Life,2024
2024Q3,Non-Life,Insurance related receivables,Assets,18802941000,NA,Chart 2.1 - Non-Life,2024
2024Q3,Non-Life,Participations,Assets,8787785000,NA,Chart 2.1 - Non-Life,2024
2024Q3,Non-Life,Operating assets & other,Assets,11525084000,NA,Chart 2.1 - Non-Life,2024
2024Q3,Non-Life,Technical Provisions,Liabilities,171738380000,NA,Chart 2.1 - Non-Life,2024
2024Q3,Non-Life,Insurance related payables,Liabilities,18587048000,NA,Chart 2.1 - Non-Life,2024
2024Q3,Non-Life,Derivatives in liabilities,Liabilities,384141000,NA,Chart 2.1 - Non-Life,2024
2024Q3,Non-Life,Other liabilities,Liabilities,15524695000,NA,Chart 2.1 - Non-Life,2024
2024Q3,Non-Life,Excess Assets over Liabilities,Liabilities,90001585000,NA,Chart 2.1 - Non-Life,2024
2024Q4,Non-Life,Investment and cash excluding participations,Assets,191945264000,NA,Chart 2.1 - Non-Life,2024
2024Q4,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2024
2024Q4,Non-Life,Reinsurance recoverables,Assets,68999284000,NA,Chart 2.1 - Non-Life,2024
2024Q4,Non-Life,Insurance related receivables,Assets,18625351000,NA,Chart 2.1 - Non-Life,2024
2024Q4,Non-Life,Participations,Assets,9035183000,NA,Chart 2.1 - Non-Life,2024
2024Q4,Non-Life,Operating assets & other,Assets,11564595000,NA,Chart 2.1 - Non-Life,2024
2024Q4,Non-Life,Technical Provisions,Liabilities,172428080000,NA,Chart 2.1 - Non-Life,2024
2024Q4,Non-Life,Insurance related payables,Liabilities,18466130000,NA,Chart 2.1 - Non-Life,2024
2024Q4,Non-Life,Derivatives in liabilities,Liabilities,513811000,NA,Chart 2.1 - Non-Life,2024
2024Q4,Non-Life,Other liabilities,Liabilities,15410397000,NA,Chart 2.1 - Non-Life,2024
2024Q4,Non-Life,Excess Assets over Liabilities,Liabilities,93351258000,NA,Chart 2.1 - Non-Life,2024
2025Q1,Non-Life,Investment and cash excluding participations,Assets,190516656000,NA,Chart 2.1 - Non-Life,2025
2025Q1,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2025
2025Q1,Non-Life,Reinsurance recoverables,Assets,70329777000,NA,Chart 2.1 - Non-Life,2025
2025Q1,Non-Life,Insurance related receivables,Assets,18956747000,NA,Chart 2.1 - Non-Life,2025
2025Q1,Non-Life,Participations,Assets,9015005000,NA,Chart 2.1 - Non-Life,2025
2025Q1,Non-Life,Operating assets & other,Assets,12317004000,NA,Chart 2.1 - Non-Life,2025
2025Q1,Non-Life,Technical Provisions,Liabilities,173755900000,NA,Chart 2.1 - Non-Life,2025
2025Q1,Non-Life,Insurance related payables,Liabilities,19107525000,NA,Chart 2.1 - Non-Life,2025
2025Q1,Non-Life,Derivatives in liabilities,Liabilities,355418000,NA,Chart 2.1 - Non-Life,2025
2025Q1,Non-Life,Other liabilities,Liabilities,20451743000,NA,Chart 2.1 - Non-Life,2025
2025Q1,Non-Life,Excess Assets over Liabilities,Liabilities,87464603000,NA,Chart 2.1 - Non-Life,2025
2025Q2,Non-Life,Investment and cash excluding participations,Assets,184280956000,NA,Chart 2.1 - Non-Life,2025
2025Q2,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2025
2025Q2,Non-Life,Reinsurance recoverables,Assets,70485895000,NA,Chart 2.1 - Non-Life,2025
2025Q2,Non-Life,Insurance related receivables,Assets,18934199000,NA,Chart 2.1 - Non-Life,2025
2025Q2,Non-Life,Participations,Assets,9719133000,NA,Chart 2.1 - Non-Life,2025
2025Q2,Non-Life,Operating assets & other,Assets,13708977000,NA,Chart 2.1 - Non-Life,2025
2025Q2,Non-Life,Technical Provisions,Liabilities,171090427000,NA,Chart 2.1 - Non-Life,2025
2025Q2,Non-Life,Insurance related payables,Liabilities,18852947000,NA,Chart 2.1 - Non-Life,2025
2025Q2,Non-Life,Derivatives in liabilities,Liabilities,464258000,NA,Chart 2.1 - Non-Life,2025
2025Q2,Non-Life,Other liabilities,Liabilities,16421216000,NA,Chart 2.1 - Non-Life,2025
2025Q2,Non-Life,Excess Assets over Liabilities,Liabilities,90300311000,NA,Chart 2.1 - Non-Life,2025
2025Q3,Non-Life,Investment and cash excluding participations,Assets,191371208000,NA,Chart 2.1 - Non-Life,2025
2025Q3,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2025
2025Q3,Non-Life,Reinsurance recoverables,Assets,71382674000,NA,Chart 2.1 - Non-Life,2025
2025Q3,Non-Life,Insurance related receivables,Assets,19014006000,NA,Chart 2.1 - Non-Life,2025
2025Q3,Non-Life,Participations,Assets,11936848000,NA,Chart 2.1 - Non-Life,2025
2025Q3,Non-Life,Operating assets & other,Assets,13705379000,NA,Chart 2.1 - Non-Life,2025
2025Q3,Non-Life,Technical Provisions,Liabilities,175224913000,NA,Chart 2.1 - Non-Life,2025
2025Q3,Non-Life,Insurance related payables,Liabilities,19189494000,NA,Chart 2.1 - Non-Life,2025
2025Q3,Non-Life,Derivatives in liabilities,Liabilities,429920000,NA,Chart 2.1 - Non-Life,2025
2025Q3,Non-Life,Other liabilities,Liabilities,16582316000,NA,Chart 2.1 - Non-Life,2025
2025Q3,Non-Life,Excess Assets over Liabilities,Liabilities,95983472000,NA,Chart 2.1 - Non-Life,2025
2025Q4,Non-Life,Investment and cash excluding participations,Assets,195814514000,NA,Chart 2.1 - Non-Life,2025
2025Q4,Non-Life,Unit-linked and index-linked assets,Assets,0,NA,Chart 2.1 - Non-Life,2025
2025Q4,Non-Life,Reinsurance recoverables,Assets,70005470000,NA,Chart 2.1 - Non-Life,2025
2025Q4,Non-Life,Insurance related receivables,Assets,18945601000,NA,Chart 2.1 - Non-Life,2025
2025Q4,Non-Life,Participations,Assets,12222587000,NA,Chart 2.1 - Non-Life,2025
