Reporting Period,Permissions,Chart Feature 1,Chart Feature 2,GBP Value,Ratio,Chart,Year
2019Q4,Non-Life,Total SCR,NA,34396929000,NA,Chart 1.1,2019
2019Q4,Non-Life,SCRCapital_Coverage,NA,NA,166.92501761500148,Chart 1.1,2019
2020Q1,Life,Total eligible own funds to meet SCR,NA,110616194000,NA,Chart 1.1,2020
2020Q1,Life,Total SCR,NA,74131091000,NA,Chart 1.1,2020
2020Q1,Life,SCRCapital_Coverage,NA,NA,149.21700509804256,Chart 1.1,2020
2020Q1,Non-Life,Total eligible own funds to meet SCR,NA,54848743000,NA,Chart 1.1,2020
2020Q1,Non-Life,Total SCR,NA,35720984000,NA,Chart 1.1,2020
2020Q1,Non-Life,SCRCapital_Coverage,NA,NA,153.5476834680019,Chart 1.1,2020
2020Q2,Life,Total eligible own funds to meet SCR,NA,113399736000,NA,Chart 1.1,2020
2020Q2,Life,Total SCR,NA,76864945000,NA,Chart 1.1,2020
2020Q2,Life,SCRCapital_Coverage,NA,NA,147.53114921216942,Chart 1.1,2020
2020Q2,Non-Life,Total eligible own funds to meet SCR,NA,58184486000,NA,Chart 1.1,2020
2020Q2,Non-Life,Total SCR,NA,36148845000,NA,Chart 1.1,2020
2020Q2,Non-Life,SCRCapital_Coverage,NA,NA,160.95807849112427,Chart 1.1,2020
2020Q3,Life,Total eligible own funds to meet SCR,NA,113553121000,NA,Chart 1.1,2020
2020Q3,Life,Total SCR,NA,75704899000,NA,Chart 1.1,2020
2020Q3,Life,SCRCapital_Coverage,NA,NA,149.99441599388186,Chart 1.1,2020
2020Q3,Non-Life,Total eligible own funds to meet SCR,NA,56777485000,NA,Chart 1.1,2020
2020Q3,Non-Life,Total SCR,NA,36867654000,NA,Chart 1.1,2020
2020Q3,Non-Life,SCRCapital_Coverage,NA,NA,154.00352051381577,Chart 1.1,2020
2020Q4,Life,Total eligible own funds to meet SCR,NA,117125347000,NA,Chart 1.1,2020
2020Q4,Life,Total SCR,NA,76095140000,NA,Chart 1.1,2020
2020Q4,Life,SCRCapital_Coverage,NA,NA,153.91961561428045,Chart 1.1,2020
2020Q4,Non-Life,Total eligible own funds to meet SCR,NA,60006621000,NA,Chart 1.1,2020
2020Q4,Non-Life,Total SCR,NA,36178592000,NA,Chart 1.1,2020
2020Q4,Non-Life,SCRCapital_Coverage,NA,NA,165.8622317735318,Chart 1.1,2020
2021Q1,Life,Total eligible own funds to meet SCR,NA,114631226000,NA,Chart 1.1,2021
2021Q1,Life,Total SCR,NA,70100907000,NA,Chart 1.1,2021
2021Q1,Life,SCRCapital_Coverage,NA,NA,163.52317058291663,Chart 1.1,2021
2021Q1,Non-Life,Total eligible own funds to meet SCR,NA,61936508000,NA,Chart 1.1,2021
2021Q1,Non-Life,Total SCR,NA,37463517000,NA,Chart 1.1,2021
2021Q1,Non-Life,SCRCapital_Coverage,NA,NA,165.32486329204312,Chart 1.1,2021
2021Q2,Life,Total eligible own funds to meet SCR,NA,111718118000,NA,Chart 1.1,2021
2021Q2,Life,Total SCR,NA,69517768000,NA,Chart 1.1,2021
2021Q2,Life,SCRCapital_Coverage,NA,NA,160.70440797713047,Chart 1.1,2021
2021Q2,Non-Life,Total eligible own funds to meet SCR,NA,64491852000,NA,Chart 1.1,2021
2021Q2,Non-Life,Total SCR,NA,37691632000,NA,Chart 1.1,2021
2021Q2,Non-Life,SCRCapital_Coverage,NA,NA,171.10389996968007,Chart 1.1,2021
2021Q3,Life,Total eligible own funds to meet SCR,NA,111801381000,NA,Chart 1.1,2021
2021Q3,Life,Total SCR,NA,69338920000,NA,Chart 1.1,2021
2021Q3,Life,SCRCapital_Coverage,NA,NA,161.23899991518988,Chart 1.1,2021
2021Q3,Non-Life,Total eligible own funds to meet SCR,NA,64964610000,NA,Chart 1.1,2021
2021Q3,Non-Life,Total SCR,NA,38144191000,NA,Chart 1.1,2021
2021Q3,Non-Life,SCRCapital_Coverage,NA,NA,170.31324535125611,Chart 1.1,2021
2021Q4,Life,Total eligible own funds to meet SCR,NA,112670459000,NA,Chart 1.1,2021
