period,n_years,ftpl_mean,ftpl_sd,swap_mean,swap_sd,corr
liberalized 1996-2007,12,,,,,
post-crisis 2008-2019,12,0.19770576616561605,0.15047644519543443,-0.04236588407961267,0.025050189913287547,0.3719055893614109
post-2020,5,0.3211387894248966,0.38568885742194775,-0.02673759055035558,0.02931785966981199,0.15363336254042018
