,omega_ftpl
2010,0.5166026528802864
2011,0.3290007699663992
2012,0.3079865943677186
2013,0.2181216371594899
2014,0.1960263687091449
2015,0.1423709267881394
2016,0.06734270991747798
2017,0.0667257584655033
2018,0.04912277084257413
2019,0.08375747255942692
2020,1.00860472418278
2021,0.1621872156348982
2022,0.09827055442901593
2023,0.1487129541360288
2024,0.1879184987417598
