year,nominal_gdp_GBPmn,debt_par_GBPmn,debt_par_over_gdp,cg_debt_mv_GBPmn,cg_debt_mv_over_gdp,gilt_10y_pct,cpi_inflation_pct,real_return_pct
1945,9696.727960179955,23465.75,2.4199657963349233,22827.722476062037,2.354167567637774,2.6405555555555558,2.799999999999997,-0.1594444444444414
1960,26412.0,28122.25,1.0647527638951992,24557.47470899147,0.9297847459106267,5.815,0.7944389275074855,5.020561072492515
1980,258411.0,109924.25,0.42538533576357046,79514.0,0.30770361942796554,13.914166666666667,15.154328150382923,-1.240161483716257
1945-1980 avg,,,1.1340126379641793,,1.0275959994144004,6.851670524691358,6.646282625065815,0.20538789962554282
